Mach,CD Power-Off
0.01,0.5457498345
0.02,0.5524515807
0.03,0.5405101007
0.04,0.5284490731
0.05,0.5178949038
0.06,0.508800352
0.07,0.5009166511
0.08,0.4940132157
0.09,0.4916019729
0.1,0.4922176476
0.11,0.4922228735
0.12,0.4918239477
0.13,0.4911547408
0.14,0.4903046564
0.15,0.4893348096
0.16,0.4882877795
0.17,0.4871936316
0.18,0.4860739446
0.19,0.4849442482
0.2,0.4838158405
0.21,0.4826969488
0.22,0.4815936546
0.23,0.4805102862
0.24,0.4794500611
0.25,0.4784152676
0.26,0.4775464379
0.27,0.4767067402
0.28,0.4758967615
0.29,0.4751167321
0.3,0.4743667349
0.31,0.4736467563
0.32,0.4729566515
0.33,0.4722962366
0.34,0.4716652847
0.35,0.4710635374
0.36,0.4704907372
0.37,0.4699466109
0.38,0.4694309443
0.39,0.4689434745
0.4,0.4684840631
0.41,0.4680525021
0.42,0.4676486797
0.43,0.4672725065
0.44,0.4669239149
0.45,0.4666029549
0.46,0.4663096055
0.47,0.4660478608
0.48,0.4658358809
0.49,0.465655394
0.5,0.4655063905
0.51,0.4653889518
0.52,0.4653032485
0.53,0.46524955
0.54,0.4652282059
0.55,0.4652396696
0.56,0.4655463478
0.57,0.4661536711
0.58,0.4667842909
0.59,0.4674396087
0.6,0.4681210621
0.61,0.4690867855
0.62,0.4700727809
0.63,0.4710902323
0.64,0.4721412132
0.65,0.4732280772
0.66,0.4743533818
0.67,0.4755199984
0.68,0.4767310447
0.69,0.4779900502
0.7,0.4793009563
0.71,0.4793765906
0.72,0.4793729746
0.73,0.479369384
0.74,0.4793658821
0.75,0.4793624366
0.76,0.479359069
0.77,0.4793557468
0.78,0.4793524996
0.79,0.479349287
0.8,0.4793461604
0.81,0.4824950775
0.82,0.4856440158
0.83,0.4887930609
0.84,0.4919421263
0.85,0.4950912756
0.86,0.4982404663
0.87,0.5013897081
0.88,0.5045390004
0.89,0.507688375
0.9,0.5108377893
0.91,0.5143114862
0.92,0.5247325771
0.93,0.5397182675
0.94,0.5540580118
0.95,0.568397756
0.96,0.5827375003
0.97,0.5970772446
0.98,0.6114169889
0.99,0.6257567332
1,0.6400964775
1.01,0.6544362217
1.02,0.668775966
1.03,0.6831157103
1.04,0.6974554546
1.05,0.7117951989
1.06,0.7094383158
1.07,0.7071071297
1.08,0.7048011805
1.09,0.7025200302
1.1,0.7002632022
1.11,0.6980303016
1.12,0.6958209451
1.13,0.6936347309
1.14,0.6914713087
1.15,0.6893302898
1.16,0.6863197661
1.17,0.6833020825
1.18,0.6803096444
1.19,0.6773422089
1.2,0.6743994141
1.21,0.6714809494
1.22,0.6685866659
1.23,0.6657160854
1.24,0.6628691212
1.25,0.6600454779
1.26,0.6572447612
1.27,0.6545534868
1.28,0.6520397905
1.29,0.6496386644
1.3,0.6473321242
1.31,0.6451111662
1.32,0.6429695589
1.33,0.6409033683
1.34,0.6389092908
1.35,0.6369851489
1.36,0.6351287808
1.37,0.6333387408
1.38,0.6316137332
1.39,0.6299526235
1.4,0.6283543967
1.41,0.6268182261
1.42,0.6253434303
1.43,0.6239294954
1.44,0.6225757714
1.45,0.6212818205
1.46,0.6200472186
1.47,0.6188715183
1.48,0.6177545822
1.49,0.6166959588
1.5,0.6156953876
1.51,0.614752756
1.52,0.6138677761
1.53,0.6130403724
1.54,0.6122702391
1.55,0.6115574186
1.56,0.6109016397
1.57,0.6103029759
1.58,0.6097611845
1.59,0.6092763152
1.6,0.6088482089
1.61,0.6084769474
1.62,0.6081624019
1.63,0.6079046727
1.64,0.6077035484
1.65,0.6075592453
1.66,0.6074716871
1.67,0.6074407939
1.68,0.6074668022
1.69,0.6075495445
1.7,0.6076891787
1.71,0.6078856578
1.72,0.6081390299
1.73,0.6084494873
1.74,0.6088169769
1.75,0.6092416797
1.76,0.6097234903
1.77,0.6102625773
1.78,0.6108590224
1.79,0.6115129707
1.8,0.6122243507
1.81,0.6130764634
1.82,0.6139601229
1.83,0.614892296
1.84,0.6158730818
1.85,0.6169026022
1.86,0.6179809611
1.87,0.6191082949
1.88,0.6202847419
1.89,0.6215103825
1.9,0.6227853893
1.91,0.6241097565
1.92,0.6254837601
1.93,0.6269073979
1.94,0.6283808395
1.95,0.6299043057
1.96,0.6314777493
1.97,0.6331015043
1.98,0.6347756361
1.99,0.6365001617
2,0.638275369
2.01,0.6402160982
2.02,0.640254477
2.03,0.637879724
2.04,0.6355265766
2.05,0.6331946778
2.06,0.6308836387
2.07,0.6285932123
2.08,0.6263228317
2.09,0.6240723711
2.1,0.621841309
2.11,0.6196293179
2.12,0.6174362776
2.13,0.6152617034
2.14,0.6131053095
2.15,0.6109668114
2.16,0.6088459988
2.17,0.6067424562
2.18,0.6046561069
2.19,0.6025865726
2.2,0.6005335574
2.21,0.5984968657
2.22,0.5964763059
2.23,0.5944715291
2.24,0.5924824548
2.25,0.5905087247
2.26,0.5885501512
2.27,0.5866065191
2.28,0.5846777519
2.29,0.5827634436
2.3,0.5808635089
2.31,0.5789777581
2.32,0.5771060247
2.33,0.575248033
2.34,0.5734035981
2.35,0.5715726917
2.36,0.5697550931
2.37,0.5679504887
2.38,0.5661588161
2.39,0.5643800099
2.4,0.5626137441
2.41,0.5608599751
2.42,0.5591185375
2.43,0.5573892264
2.44,0.5556719818
2.45,0.5539667045
2.46,0.5522730279
2.47,0.5505910501
2.48,0.548920551
2.49,0.5472613805
2.5,0.5456134748
2.51,0.5439766696
2.52,0.542350783
2.53,0.5407357866
2.54,0.5391316036
2.55,0.5375379777
2.56,0.5359548471
2.57,0.5343822003
2.58,0.5328198379
2.59,0.531267653
2.6,0.5297254694
2.61,0.5281933836
2.62,0.5266711931
2.63,0.5251587373
2.64,0.523656007
2.65,0.522162825
2.66,0.5206790853
2.67,0.5192048427
2.68,0.5177398848
2.69,0.5162842592
2.7,0.5148376462
2.71,0.513400116
2.72,0.5119715613
2.73,0.5105519342
2.74,0.5091410216
2.75,0.5077389074
2.76,0.5063453791
2.77,0.5049604742
2.78,0.5035839427
2.79,0.5022158945
2.8,0.5008561905
2.81,0.4995047338
2.82,0.4981614974
2.83,0.496826395
2.84,0.4954992813
2.85,0.4941801735
2.86,0.4928689564
2.87,0.4915655609
2.88,0.4902699653
2.89,0.4889820767
2.9,0.4877018468
2.91,0.4864291964
2.92,0.4851640388
2.93,0.4839063563
2.94,0.4826560596
2.95,0.4814130968
2.96,0.4801774175
2.97,0.4789489538
2.98,0.4777276367
2.99,0.4765134273
3,0.4753062576
