Mach,CD Power-On
0.01,0.5576770056
0.02,0.5608277618
0.03,0.5466498364
0.04,0.5330220669
0.05,0.5212785353
0.06,0.5112331378
0.07,0.5025617206
0.08,0.4949885884
0.09,0.4919966752
0.1,0.4921010425
0.11,0.4916504342
0.12,0.4908409138
0.13,0.4897987001
0.14,0.4886073024
0.15,0.4873231532
0.16,0.4859851628
0.17,0.4846203548
0.18,0.48324781
0.19,0.4818810189
0.2,0.4805295553
0.21,0.4792001931
0.22,0.4778977423
0.23,0.476625453
0.24,0.4753855919
0.25,0.4741796493
0.26,0.4731474425
0.27,0.4721515452
0.28,0.4711919048
0.29,0.470268308
0.3,0.4693803855
0.31,0.4685277378
0.32,0.467709837
0.33,0.4669261989
0.34,0.4661762915
0.35,0.4654595897
0.36,0.4647755726
0.37,0.4641237866
0.38,0.463503793
0.39,0.4629151329
0.4,0.462357515
0.41,0.4618305633
0.42,0.4613340022
0.43,0.4608676419
0.44,0.4604312711
0.45,0.4600248152
0.46,0.4596481606
0.47,0.4593051841
0.48,0.4590139668
0.49,0.4587561331
0.5,0.4585316056
0.51,0.4583403735
0.52,0.4581825484
0.53,0.4580583179
0.54,0.4579679734
0.55,0.4579119145
0.56,0.4579901202
0.57,0.4585906995
0.58,0.45921459
0.59,0.4592323691
0.6,0.4592762981
0.61,0.4596045117
0.62,0.4599530114
0.63,0.4603329815
0.64,0.4607464953
0.65,0.4611959063
0.66,0.461683772
0.67,0.4622129638
0.68,0.4627865993
0.69,0.4634082077
0.7,0.4640817308
0.71,0.4635199959
0.72,0.4628790244
0.73,0.462238092
0.74,0.461597262
0.75,0.460956502
0.76,0.4603158334
0.77,0.4596752237
0.78,0.4590347025
0.79,0.4583942292
0.8,0.4577538554
0.81,0.4602655385
0.82,0.462777256
0.83,0.4652890935
0.84,0.4678009644
0.85,0.4703129323
0.86,0.4728249547
0.87,0.4753370412
0.88,0.4778491912
0.89,0.4803614362
0.9,0.4828737338
0.91,0.4861572752
0.92,0.4960078994
0.93,0.5090295074
0.94,0.5202967871
0.95,0.5315640668
0.96,0.5428313466
0.97,0.5540986263
0.98,0.5653659061
0.99,0.5766331858
1,0.5879004655
1.01,0.5991677453
1.02,0.610435025
1.03,0.6217023047
1.04,0.6329695845
1.05,0.6442368642
1.06,0.6421708759
1.07,0.6401311297
1.08,0.6381171542
1.09,0.6361284996
1.1,0.6341646784
1.11,0.6322252849
1.12,0.6303099255
1.13,0.6284181884
1.14,0.6265497135
1.15,0.6247041027
1.16,0.6219894386
1.17,0.6192680574
1.18,0.6165723558
1.19,0.6139020824
1.2,0.6110112732
1.21,0.6080129608
1.22,0.6050392315
1.23,0.6020895999
