Temperature (K),Pressure (MPa),Kinematic Viscosity (m^2/s)
260,2192040.2,0.0000001119390889
260,2200000,0.0000001119467728
260,2400000,0.0000001121392394
260,2600000,0.0000001123304595
260,2800000,0.0000001125204754
260,3000000,0.0000001127093182
260,3200000,0.00000011289701
260,3400000,0.0000001130835732
260,3600000,0.0000001132690519
260,3800000,0.0000001134534612
260,4000000,0.0000001136368353
260,4200000,0.0000001138191795
260,4400000,0.0000001140005298
260,4600000,0.0000001141809024
260,4800000,0.0000001143603236
260,5000000,0.0000001145388216
260,5200000,0.000000114716404
260,5400000,0.0000001148930896
260,5600000,0.0000001150689047
260,5800000,0.0000001152438599
260,6000000,0.0000001154179732
260,6200000,0.0000001155912661
260,6400000,0.0000001157637662
260,6600000,0.0000001159354654
260,6800000,0.0000001161063923
260,7000000,0.0000001162765598
260,7200000,0.0000001164459782
262,2318371.1,0.0000001102422629
262,2400000,0.0000001103224522
262,2600000,0.0000001105179607
262,2800000,0.000000110712102
262,3000000,0.000000110904916
262,3200000,0.0000001110964407
262,3400000,0.0000001112867055
262,3600000,0.0000001114757513
262,3800000,0.0000001116636087
262,4000000,0.000000111850289
262,4200000,0.0000001120358359
262,4400000,0.0000001122202804
262,4600000,0.0000001124036394
262,4800000,0.0000001125859441
262,5000000,0.0000001127672119
262,5200000,0.0000001129474769
262,5400000,0.0000001131267549
262,5600000,0.0000001133050644
262,5800000,0.0000001134824298
262,6000000,0.0000001136588796
262,6200000,0.0000001138344214
262,6400000,0.0000001140090833
262,6600000,0.0000001141828739
262,6800000,0.0000001143558128
262,7000000,0.0000001145279284
262,7200000,0.000000114699231
264,2449917.9,0.000000108582581
264,2600000,0.0000001087329034
264,2800000,0.0000001089318588
264,3000000,0.0000001091293207
264,3200000,0.0000001093253234
264,3400000,0.0000001095199018
264,3600000,0.0000001097131007
264,3800000,0.0000001099049584
264,4000000,0.0000001100955011
264,4200000,0.0000001102847801
264,4400000,0.0000001104728135
264,4600000,0.0000001106596423
264,4800000,0.0000001108452872
264,5000000,0.0000001110297908
264,5200000,0.000000111213166
264,5400000,0.0000001113954567
264,5600000,0.0000001115766638
264,5800000,0.0000001117568352
264,6000000,0.0000001119359847
264,6200000,0.0000001121141389
264,6400000,0.0000001122913215
264,6600000,0.0000001124675515
264,6800000,0.0000001126428452
264,7000000,0.0000001128172304
264,7200000,0.000000112990724
266,2586814.4,0.0000001069572588
266,2600000,0.0001158260578
266,2800000,0.0001159888524
266,3000000,0.0001161503404
266,3200000,0.0001163105699
