"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.38","48.57","TIMMINS A","6078286","2024-01-01","2024","01","01","","-2.7","","-12.8","","-7.8","","25.8","","0.0","","","M","","M","","M","","","24","","39",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-02","2024","01","02","","-1.9","","-4.4","","-3.2","","21.2","","0.0","","","M","","M","","M","","","24","","36",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-03","2024","01","03","","-4.2","","-15.4","","-9.8","","27.8","","0.0","","","M","","M","","M","","","33","","34",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-04","2024","01","04","","-13.8","","-16.3","","-15.1","","33.1","","0.0","","","M","","M","","M","","","31","","31",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-05","2024","01","05","","-7.7","","-16.5","","-12.1","","30.1","","0.0","","","M","","M","","M","","","31","","33",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-06","2024","01","06","","-12.5","","-15.6","","-14.1","","32.1","","0.0","","","M","","M","","M","","","9","","32",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-07","2024","01","07","","-6.8","","-13.2","","-10.0","","28.0","","0.0","","","M","","M","","M","","","32","","36",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-08","2024","01","08","","-10.8","","-21.0","","-15.9","","33.9","","0.0","","","M","","M","","M","","","31","","32",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-09","2024","01","09","","-9.4","","-17.4","","-13.4","","31.4","","0.0","","","M","","M","","M","","","3","","34",""
"-81.38","48.57","TIMMINS A","6078286","2024-01-10","2024","01","10","","-10.3","","-15.3","","-12.8","","30.8","","0.0","","","M","","M","","M","","","32","","45",""
