"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 00:00","2022","11","01","00:00","","3.3","","0.3","","81","","0.0","","","","","","","","96.39","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 01:00","2022","11","01","01:00","","3.1","","-0.3","","78","","0.0","","","","","","","","96.35","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 02:00","2022","11","01","02:00","","2.8","","-0.4","","80","","0.0","","","","","","","","96.33","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 03:00","2022","11","01","03:00","","3.2","","-0.2","","79","","0.0","","","","","","","","96.29","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 04:00","2022","11","01","04:00","","2.7","","-0.4","","80","","0.0","","","","","","","","96.25","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 05:00","2022","11","01","05:00","","2.4","","0.4","","87","","0.0","","","","","","","","96.24","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 06:00","2022","11","01","06:00","","2.7","","-0.1","","81","","0.0","","","","","","","","96.21","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 07:00","2022","11","01","07:00","","2.7","","-0.6","","79","","0.0","","","","","","","","96.20","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 08:00","2022","11","01","08:00","","3.2","","-0.3","","78","","0.0","","","","","","","","96.22","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 09:00","2022","11","01","09:00","","3.6","","1.6","","87","","0.0","","","","","","","","96.22","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 10:00","2022","11","01","10:00","","5.4","","2.7","","83","","0.0","","","","","","","","96.19","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 11:00","2022","11","01","11:00","","5.6","","1.0","","72","","0.0","","","","","","","","96.19","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 12:00","2022","11","01","12:00","","5.7","","1.7","","75","","0.0","","","","","","","","96.17","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 13:00","2022","11","01","13:00","","6.4","","2.0","","73","","0.0","","","","","","","","96.11","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 14:00","2022","11","01","14:00","","5.6","","2.1","","78","","0.0","","","","","","","","96.10","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 15:00","2022","11","01","15:00","","5.4","","2.0","","79","","0.0","","","","","","","","96.09","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 16:00","2022","11","01","16:00","","4.2","","1.7","","83","","0.0","","","","","","","","96.08","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 17:00","2022","11","01","17:00","","3.6","","1.1","","84","","0.0","","","","","","","","96.11","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 18:00","2022","11","01","18:00","","3.5","","1.7","","87","","0.0","","","","","","","","96.16","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 19:00","2022","11","01","19:00","","3.9","","1.1","","82","","0.0","","","","","","","","96.17","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 20:00","2022","11","01","20:00","","2.3","","0.8","","90","","0.0","","","","","","","","96.17","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 21:00","2022","11","01","21:00","","2.7","","1.5","","91","","0.0","","","","","","","","96.19","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 22:00","2022","11","01","22:00","","3.5","","2.2","","91","","0.0","","","","","","","","96.17","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-01 23:00","2022","11","01","23:00","","3.9","","2.5","","91","","0.2","","","","","","","","96.19","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 00:00","2022","11","02","00:00","","3.8","","2.3","","90","","0.4","","","","","","","","96.20","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 01:00","2022","11","02","01:00","","3.8","","2.4","","91","","0.0","","","","","","","","96.23","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 02:00","2022","11","02","02:00","","3.8","","2.3","","90","","0.4","","","","","","","","96.31","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 03:00","2022","11","02","03:00","","3.6","","2.7","","94","","0.4","","","","","","","","96.34","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 04:00","2022","11","02","04:00","","3.3","","2.3","","94","","0.2","","","","","","","","96.41","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 05:00","2022","11","02","05:00","","2.9","","2.5","","97","","1.0","","","","","","","","96.49","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 06:00","2022","11","02","06:00","","2.7","","2.4","","98","","1.4","","","","","","","","96.55","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 07:00","2022","11","02","07:00","","2.4","","2.2","","98","","1.4","","","","","","","","96.67","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 08:00","2022","11","02","08:00","","2.9","","2.7","","99","","1.0","","","","","","","","96.76","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 09:00","2022","11","02","09:00","","3.7","","3.5","","99","","0.0","","","","","","","","96.86","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-11-02 10:00","2022","11","02","10:00","","4.2","","4.1","","99","","0.0","","","","","","","","96.95","","","","","","NA"
