"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 00:00","2022","12","01","00:00","","-1.0","","-2.2","","92","","","","","","","","","","95.60","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 01:00","2022","12","01","01:00","","-1.0","","-2.2","","92","","","","","","","","","","95.65","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 02:00","2022","12","01","02:00","","-1.3","","-2.3","","93","","","","","","","","","","95.67","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 03:00","2022","12","01","03:00","","-1.6","","-2.3","","95","","","","","","","","","","95.70","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 04:00","2022","12","01","04:00","","-1.8","","-2.8","","93","","","","","","","","","","95.72","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 05:00","2022","12","01","05:00","","-2.2","","-3.3","","92","","","","","","","","","","95.77","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 06:00","2022","12","01","06:00","","-2.4","","-3.9","","89","","","","","","","","","","95.83","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 07:00","2022","12","01","07:00","","-2.7","","-4.6","","87","","","","","","","","","","95.93","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 08:00","2022","12","01","08:00","","-2.9","","-5.1","","84","","","","","","","","","","96.02","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 09:00","2022","12","01","09:00","","-2.9","","-5.1","","85","","","","","","","","","","96.11","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 10:00","2022","12","01","10:00","","-2.9","","-5.6","","82","","","","","","","","","","96.15","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 11:00","2022","12","01","11:00","","-2.8","","-5.3","","83","","","","","","","","","","96.21","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 12:00","2022","12","01","12:00","","-2.3","","-5.4","","79","","","","","","","","","","96.23","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 13:00","2022","12","01","13:00","","-1.6","","-5.7","","74","","","","","","","","","","96.27","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 14:00","2022","12","01","14:00","","-1.9","","-5.3","","77","","","","","","","","","","96.30","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 15:00","2022","12","01","15:00","","-2.1","","-5.2","","80","","","","","","","","","","96.35","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 16:00","2022","12","01","16:00","","-3.0","","-6.0","","80","","","","","","","","","","96.40","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 17:00","2022","12","01","17:00","","-4.3","","-6.3","","86","","","","","","","","","","96.46","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 18:00","2022","12","01","18:00","","-4.9","","-6.7","","87","","","","","","","","","","96.54","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 19:00","2022","12","01","19:00","","-4.7","","-6.6","","87","","","","","","","","","","96.58","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 20:00","2022","12","01","20:00","","-5.0","","-6.7","","88","","","","","","","","","","96.60","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 21:00","2022","12","01","21:00","","-4.4","","-6.5","","85","","","","","","","","","","96.67","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 22:00","2022","12","01","22:00","","-4.6","","-5.8","","91","","","","","","","","","","96.73","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-01 23:00","2022","12","01","23:00","","-4.1","","-5.8","","88","","","","","","","","","","96.80","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 00:00","2022","12","02","00:00","","-3.7","","-5.5","","87","","","","","","","","","","96.89","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 01:00","2022","12","02","01:00","","-3.3","","-4.9","","88","","","","","","","","","","96.90","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 02:00","2022","12","02","02:00","","-3.4","","-5.0","","89","","","","","","","","","","96.96","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 03:00","2022","12","02","03:00","","-3.0","","-4.2","","91","","","","","","","","","","97.01","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 04:00","2022","12","02","04:00","","-2.9","","-3.9","","93","","","","","","","","","","97.00","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 05:00","2022","12","02","05:00","","-2.9","","-3.7","","94","","","","","","","","","","97.04","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 06:00","2022","12","02","06:00","","-3.1","","-3.9","","94","","","","","","","","","","97.04","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2022-12-02 07:00","2022","12","02","07:00","","-3.3","","-4.0","","95","","","","","","","","","","97.04","","","","","","NA"
