"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 00:00","2024","11","01","00:00","","5.7","","","M","","M","0.0","","","","","","","","96.09","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 01:00","2024","11","01","01:00","","5.7","","","M","","M","0.0","","","","","","","","96.03","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 02:00","2024","11","01","02:00","","5.9","","","M","","M","0.0","","","","","","","","95.97","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 03:00","2024","11","01","03:00","","6.0","","","M","","M","0.0","","","","","","","","95.92","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 04:00","2024","11","01","04:00","","5.8","","","M","","M","0.0","","","","","","","","95.86","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 05:00","2024","11","01","05:00","","5.6","","","M","","M","0.0","","","","","","","","95.81","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 06:00","2024","11","01","06:00","","5.6","","","M","","M","0.0","","","","","","","","95.78","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 07:00","2024","11","01","07:00","","6.1","","","M","","M","0.0","","","","","","","","95.76","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 08:00","2024","11","01","08:00","","5.9","","","M","","M","0.0","","","","","","","","95.74","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 09:00","2024","11","01","09:00","","5.9","","","M","","M","0.0","","","","","","","","95.72","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 10:00","2024","11","01","10:00","","6.0","","","M","","M","0.0","","","","","","","","95.71","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 11:00","2024","11","01","11:00","","5.9","","","M","","M","0.0","","","","","","","","95.69","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 12:00","2024","11","01","12:00","","6.2","","","M","","M","0.0","","","","","","","","95.70","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 13:00","2024","11","01","13:00","","6.5","","","M","","M","0.0","","","","","","","","95.69","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 14:00","2024","11","01","14:00","","6.6","","","M","","M","0.0","","","","","","","","95.69","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 15:00","2024","11","01","15:00","","6.5","","","M","","M","0.0","","","","","","","","95.71","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 16:00","2024","11","01","16:00","","6.2","","","M","","M","0.0","","","","","","","","95.76","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 17:00","2024","11","01","17:00","","6.2","","","M","","M","0.0","","","","","","","","95.81","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 18:00","2024","11","01","18:00","","6.4","","","M","","M","0.0","","","","","","","","95.84","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 19:00","2024","11","01","19:00","","6.5","","","M","","M","0.0","","","","","","","","95.89","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 20:00","2024","11","01","20:00","","6.5","","","M","","M","0.0","","","","","","","","95.93","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 21:00","2024","11","01","21:00","","6.3","","","M","","M","0.0","","","","","","","","95.98","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 22:00","2024","11","01","22:00","","6.0","","","M","","M","0.0","","","","","","","","95.99","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-01 23:00","2024","11","01","23:00","","5.5","","","M","","M","0.0","","","","","","","","96.04","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 00:00","2024","11","02","00:00","","5.5","","","M","","M","0.0","","","","","","","","96.09","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 01:00","2024","11","02","01:00","","5.3","","","M","","M","0.0","","","","","","","","96.14","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 02:00","2024","11","02","02:00","","5.3","","","M","","M","0.0","","","","","","","","96.16","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 03:00","2024","11","02","03:00","","5.3","","","M","","M","0.0","","","","","","","","96.17","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 04:00","2024","11","02","04:00","","5.1","","","M","","M","0.0","","","","","","","","96.21","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 05:00","2024","11","02","05:00","","5.1","","","M","","M","0.0","","","","","","","","96.24","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 06:00","2024","11","02","06:00","","5.1","","","M","","M","0.0","","","","","","","","96.27","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 07:00","2024","11","02","07:00","","5.1","","","M","","M","0.0","","","","","","","","96.30","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 08:00","2024","11","02","08:00","","5.4","","","M","","M","0.0","","","","","","","","96.31","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 09:00","2024","11","02","09:00","","5.8","","","M","","M","0.0","","","","","","","","96.34","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 10:00","2024","11","02","10:00","","6.6","","","M","","M","0.0","","","","","","","","96.35","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 11:00","2024","11","02","11:00","","7.4","","","M","","M","0.0","","","","","","","","96.36","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 12:00","2024","11","02","12:00","","7.5","","","M","","M","0.0","","","","","","","","96.36","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 13:00","2024","11","02","13:00","","6.7","","","M","","M","0.0","","","","","","","","96.37","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 14:00","2024","11","02","14:00","","6.6","","","M","","M","0.0","","","","","","","","96.41","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 15:00","2024","11","02","15:00","","7.0","","","M","","M","0.0","","","","","","","","96.46","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 16:00","2024","11","02","16:00","","6.7","","","M","","M","0.0","","","","","","","","96.47","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 17:00","2024","11","02","17:00","","6.2","","","M","","M","0.0","","","","","","","","96.51","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 18:00","2024","11","02","18:00","","6.1","","","M","","M","0.0","","","","","","","","96.53","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 19:00","2024","11","02","19:00","","6.3","","","M","","M","0.0","","","","","","","","96.57","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 20:00","2024","11","02","20:00","","6.2","","","M","","M","0.0","","","","","","","","96.63","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 21:00","2024","11","02","21:00","","6.4","","","M","","M","0.0","","","","","","","","96.69","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 22:00","2024","11","02","22:00","","6.3","","","M","","M","0.0","","","","","","","","96.76","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-02 23:00","2024","11","02","23:00","","6.2","","","M","","M","0.0","","","","","","","","96.84","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 00:00","2024","11","03","00:00","","6.2","","","M","","M","0.0","","","","","","","","96.90","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 01:00","2024","11","03","01:00","","6.0","","","M","","M","0.0","","","","","","","","96.99","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 02:00","2024","11","03","02:00","","5.9","","","M","","M","0.0","","","","","","","","97.07","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 03:00","2024","11","03","03:00","","5.8","","","M","","M","0.0","","","","","","","","97.11","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 04:00","2024","11","03","04:00","","6.0","","","M","","M","0.0","","","","","","","","97.18","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 05:00","2024","11","03","05:00","","5.2","","","M","","M","0.0","","","","","","","","97.25","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 06:00","2024","11","03","06:00","","4.5","","","M","","M","0.0","","","","","","","","97.30","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 07:00","2024","11","03","07:00","","4.6","","","M","","M","0.0","","","","","","","","97.41","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 08:00","2024","11","03","08:00","","5.0","","","M","","M","0.0","","","","","","","","97.51","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 09:00","2024","11","03","09:00","","6.0","","","M","","M","0.0","","","","","","","","97.58","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 10:00","2024","11","03","10:00","","7.9","","","M","","M","0.0","","","","","","","","97.60","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 11:00","2024","11","03","11:00","","7.1","","","M","","M","0.0","","","","","","","","97.70","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 12:00","2024","11","03","12:00","","7.7","","","M","","M","0.0","","","","","","","","97.71","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 13:00","2024","11","03","13:00","","7.6","","","M","","M","0.0","","","","","","","","97.76","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 14:00","2024","11","03","14:00","","7.7","","","M","","M","0.0","","","","","","","","97.75","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 15:00","2024","11","03","15:00","","7.3","","","M","","M","0.0","","","","","","","","97.79","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 16:00","2024","11","03","16:00","","7.5","","","M","","M","0.0","","","","","","","","97.79","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 17:00","2024","11","03","17:00","","7.4","","","M","","M","0.0","","","","","","","","97.80","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 18:00","2024","11","03","18:00","","7.9","","","M","","M","0.0","","","","","","","","97.80","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 19:00","2024","11","03","19:00","","7.7","","","M","","M","0.0","","","","","","","","97.80","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 20:00","2024","11","03","20:00","","7.2","","","M","","M","0.0","","","","","","","","97.77","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 21:00","2024","11","03","21:00","","7.0","","","M","","M","0.0","","","","","","","","97.71","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 22:00","2024","11","03","22:00","","6.9","","","M","","M","0.0","","","","","","","","97.69","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-03 23:00","2024","11","03","23:00","","7.1","","","M","","M","0.0","","","","","","","","97.64","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 00:00","2024","11","04","00:00","","6.7","","","M","","M","0.0","","","","","","","","97.59","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 01:00","2024","11","04","01:00","","6.7","","","M","","M","0.0","","","","","","","","97.49","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 02:00","2024","11","04","02:00","","6.6","","","M","","M","0.0","","","","","","","","97.38","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 03:00","2024","11","04","03:00","","6.6","","","M","","M","0.0","","","","","","","","97.22","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 04:00","2024","11","04","04:00","","6.2","","","M","","M","0.0","","","","","","","","96.99","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 05:00","2024","11","04","05:00","","5.8","","","M","","M","0.0","","","","","","","","96.75","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 06:00","2024","11","04","06:00","","5.6","","","M","","M","0.0","","","","","","","","96.50","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 07:00","2024","11","04","07:00","","5.7","","","M","","M","0.0","","","","","","","","96.38","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 08:00","2024","11","04","08:00","","6.0","","","M","","M","0.0","","","","","","","","96.23","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 09:00","2024","11","04","09:00","","6.7","","","M","","M","0.0","","","","","","","","96.23","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 10:00","2024","11","04","10:00","","8.4","","","M","","M","0.0","","","","","","","","96.19","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 11:00","2024","11","04","11:00","","9.3","","","M","","M","0.2","","","","","","","","96.24","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 12:00","2024","11","04","12:00","","10.3","","","M","","M","0.0","","","","","","","","96.52","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 13:00","2024","11","04","13:00","","10.8","","","M","","M","0.0","","","","","","","","96.62","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 14:00","2024","11","04","14:00","","9.8","","","M","","M","0.0","","","","","","","","96.72","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 15:00","2024","11","04","15:00","","10.1","","","M","","M","0.0","","","","","","","","96.78","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 16:00","2024","11","04","16:00","","8.7","","","M","","M","0.0","","","","","","","","96.91","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 17:00","2024","11","04","17:00","","6.8","","","M","","M","0.0","","","","","","","","97.06","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 18:00","2024","11","04","18:00","","6.5","","","M","","M","0.0","","","","","","","","97.20","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 19:00","2024","11","04","19:00","","6.8","","","M","","M","0.0","","","","","","","","97.29","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 20:00","2024","11","04","20:00","","6.6","","","M","","M","0.0","","","","","","","","97.33","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 21:00","2024","11","04","21:00","","5.9","","","M","","M","0.0","","","","","","","","97.39","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 22:00","2024","11","04","22:00","","6.0","","","M","","M","0.0","","","","","","","","97.47","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-04 23:00","2024","11","04","23:00","","6.4","","","M","","M","0.0","","","","","","","","97.54","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 00:00","2024","11","05","00:00","","5.7","","","M","","M","0.0","","","","","","","","97.60","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 01:00","2024","11","05","01:00","","5.9","","","M","","M","0.0","","","","","","","","97.67","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 02:00","2024","11","05","02:00","","5.8","","","M","","M","0.0","","","","","","","","97.70","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 03:00","2024","11","05","03:00","","5.3","","","M","","M","0.0","","","","","","","","97.81","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 04:00","2024","11","05","04:00","","4.7","","","M","","M","0.0","","","","","","","","97.82","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 05:00","2024","11","05","05:00","","5.2","","","M","","M","0.0","","","","","","","","97.85","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 06:00","2024","11","05","06:00","","6.0","","","M","","M","0.0","","","","","","","","97.87","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 07:00","2024","11","05","07:00","","4.8","","","M","","M","0.0","","","","","","","","97.90","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 08:00","2024","11","05","08:00","","4.8","","","M","","M","0.0","","","","","","","","98.00","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 09:00","2024","11","05","09:00","","5.6","","","M","","M","0.0","","","","","","","","98.07","","","","","","NA"
"-123.53","48.57","MALAHAT","1014820","2024-11-05 10:00","2024","11","05","10:00","","7.0","","","M","","M","0.0","","","","","","","","98.11","","","","","","NA"
