"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 00:00","2023","08","01","00:00","","9.9","","8.9","","94","","","","","","0","","24.1","","98.62","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 01:00","2023","08","01","01:00","","8.8","","8.0","","95","","","","3","","4","","24.1","","98.60","","","","","","Mostly Cloudy"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 02:00","2023","08","01","02:00","","8.0","","7.4","","96","","","","","","0","","24.1","","98.61","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 03:00","2023","08","01","03:00","","8.3","","7.7","","96","","","","4","","7","","24.1","","98.63","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 04:00","2023","08","01","04:00","","6.8","","6.3","","97","","","","","","0","","24.1","","98.66","","","","","","Mostly Cloudy"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 05:00","2023","08","01","05:00","","7.2","","6.7","","97","","","","7","","4","","24.1","","98.70","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 06:00","2023","08","01","06:00","","10.4","","9.1","","91","","","","5","","6","","24.1","","98.73","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 07:00","2023","08","01","07:00","","13.3","","10.7","","84","","","","9","","5","","24.1","","98.80","","","","","","Mostly Cloudy"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 08:00","2023","08","01","08:00","","15.9","","11.5","","75","","","","10","","5","","24.1","","98.80","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 09:00","2023","08","01","09:00","","17.1","","8.9","","58","","","","9","","5","","24.1","","98.83","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 10:00","2023","08","01","10:00","","17.9","","8.7","","55","","","","5","","8","","24.1","","98.80","","","","","","Mainly Clear"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 11:00","2023","08","01","11:00","","19.7","","10.1","","53","","","","13","","7","","24.1","","98.77","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 12:00","2023","08","01","12:00","","20.6","","10.0","","50","","","","12","","6","","24.1","","98.75","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 13:00","2023","08","01","13:00","","21.4","","8.9","","44","","","","12","","9","","24.1","","98.69","","","","","","Mostly Cloudy"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 14:00","2023","08","01","14:00","","21.9","","9.1","","44","","","","7","","8","","24.1","","98.66","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 15:00","2023","08","01","15:00","","22.1","","6.3","","35","","","","10","","6","","24.1","","98.63","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 16:00","2023","08","01","16:00","","21.7","","7.6","","40","","","","14","","7","","24.1","","98.59","","","","","","Mostly Cloudy"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 17:00","2023","08","01","17:00","","22.2","","7.5","","38","","","","18","","11","","24.1","","98.56","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 18:00","2023","08","01","18:00","","21.4","","8.7","","44","","","","18","","6","","24.1","","98.52","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 19:00","2023","08","01","19:00","","18.7","","10.9","","60","","","","15","","4","","24.1","","98.52","","","","","","Mostly Cloudy"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 20:00","2023","08","01","20:00","","14.5","","12.0","","85","","","","16","","3","","24.1","","98.52","","","","","","NA"
"-81.38","48.57","TIMMINS A","6078286","2023-08-01 21:00","2023","08","01","21:00","","13.4","","10.3","","82","","","","16","","3","","24.1","","98.53","","","","","","NA"
